subjectID,first_second_session,combination_of_trials,inserted_position,first_target,second_target,order_of_stimulus,subject,date,c1,c2,c3,c4,c5,c6,c7,c8,c9,retention_task,age
1,2,1,#9,0,9,1,1,2022/8/25,0,0,0,0,0,0,0,0,1,2,children
1,2,1,#6,6,9,2,1,2022/8/25,0,0,0,0,0,1,0,0,1,1,children
1,2,1,#9,6,9,3,1,2022/8/25,0,0,0,0,0,1,0,0,1,2,children
1,2,1,#6,4,7,4,1,2022/8/25,0,0,0,1,0,0,1,0,0,1,children
1,2,1,#6,4,9,5,1,2022/8/25,0,0,0,1,0,0,0,0,1,1,children
1,2,1,#9,0,4,6,1,2022/8/25,0,0,0,1,0,0,0,0,0,2,children
1,2,1,#9,5,9,7,1,2022/8/25,0,0,0,0,1,0,0,0,1,2,children
1,2,1,#6,5,7,8,1,2022/8/25,0,0,0,0,1,0,1,0,0,1,children
1,2,1,#6,6,8,9,1,2022/8/25,0,0,0,0,0,1,0,1,0,1,children
1,2,1,#9,6,7,10,1,2022/8/25,0,0,0,0,0,1,1,0,0,2,children
1,2,1,#9,0,6,11,1,2022/8/25,0,0,0,0,0,1,0,0,1,2,children
1,2,1,#9,4,9,12,1,2022/8/25,0,0,0,1,0,0,0,0,1,2,children
2,2,2,#6,6,9,1,2,2022/8/26,0,0,0,0,0,1,0,0,0,1,children
2,2,2,#9,5,7,2,2,2022/8/26,0,0,0,0,0,0,0,0,1,2,children
2,2,2,#9,6,7,3,2,2022/8/26,0,0,0,0,0,0,0,0,1,2,children
2,2,2,#6,4,7,4,2,2022/8/26,0,0,0,0,1,0,0,0,0,1,children
2,2,2,#9,0,8,5,2,2022/8/26,0,0,0,0,0,0,0,0,1,2,children
2,2,2,#6,4,8,6,2,2022/8/26,0,0,0,0,0,1,0,0,0,1,children
2,2,2,#6,5,7,7,2,2022/8/26,0,0,0,0,0,1,0,0,0,1,children
2,2,2,#9,0,7,8,2,2022/8/26,0,0,0,0,0,0,0,0,1,2,children
2,2,2,#6,6,8,9,2,2022/8/26,0,0,0,0,0,1,0,0,0,1,children
2,2,2,#9,5,8,10,2,2022/8/26,0,0,0,0,0,0,0,0,1,2,children
2,2,2,#9,5,9,11,2,2022/8/26,0,0,0,0,0,0,0,0,1,2,children
2,2,2,#9,0,4,12,2,2022/8/26,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#6,6,7,1,3,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
3,1,2,#9,4,9,2,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#9,6,9,3,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#6,4,9,4,3,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
3,1,2,#9,0,6,5,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#6,5,8,6,3,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
3,1,2,#9,0,9,7,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#9,4,8,8,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#6,5,9,9,3,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
3,1,2,#9,4,7,10,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#9,6,8,11,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
3,1,2,#9,0,5,12,3,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#9,0,5,1,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#9,4,9,2,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#6,4,7,3,4,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
4,1,3,#6,4,8,4,4,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
4,1,3,#9,0,8,5,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#6,5,8,6,4,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
4,1,3,#9,5,9,7,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#9,6,9,8,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#9,6,8,9,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#6,4,9,10,4,2022/8/27,0,0,0,0,0,1,0,0,0,1,children
4,1,3,#9,5,8,11,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
4,1,3,#9,0,9,12,4,2022/8/27,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#9,4,8,1,5,2022/8/28,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#9,4,7,2,5,2022/8/28,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#9,0,4,3,5,2022/8/28,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#6,5,7,4,5,2022/8/28,0,0,0,0,0,1,0,0,0,1,children
5,2,3,#9,6,7,5,5,2022/8/28,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#9,0,6,6,5,2022/8/28,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#6,6,9,7,5,2022/8/28,0,0,0,0,0,1,0,0,0,1,children
5,2,3,#6,5,9,8,5,2022/8/28,0,0,0,0,0,1,0,0,0,1,children
5,2,3,#9,5,7,9,5,2022/8/28,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#9,0,7,10,5,2022/8/28,0,0,0,0,0,0,0,0,1,2,children
5,2,3,#6,6,7,11,5,2022/8/28,0,0,0,0,0,1,0,0,0,1,children
5,2,3,#6,6,8,12,5,2022/8/28,0,0,0,0,0,1,0,0,0,1,children
6,1,1,#9,0,4,1,6,2022/8/29,0,0,0,1,0,0,0,0,0,2,children
6,1,1,#6,4,9,2,6,2022/8/29,0,0,0,1,0,0,0,0,1,1,children
6,1,1,#9,6,7,3,6,2022/8/29,0,0,0,0,0,1,1,0,0,2,children
6,1,1,#9,0,6,4,6,2022/8/29,0,0,0,0,0,1,0,0,0,2,children
6,1,1,#6,6,9,5,6,2022/8/29,0,0,0,0,1,0,0,0,1,1,children
6,1,1,#6,6,8,6,6,2022/8/29,0,0,0,0,0,1,0,1,0,1,children
6,1,1,#6,5,7,7,6,2022/8/29,0,0,0,0,1,0,1,0,0,1,children
6,1,1,#9,0,9,8,6,2022/8/29,0,0,0,0,0,0,0,0,1,2,children
6,1,1,#9,4,9,9,6,2022/8/29,0,0,0,1,0,0,0,0,1,2,children
6,1,1,#9,5,9,10,6,2022/8/29,0,0,0,0,1,0,0,0,1,2,children
6,1,1,#6,4,7,11,6,2022/8/29,0,0,0,1,0,0,1,0,0,2,children
6,1,1,#9,6,9,12,6,2022/8/29,0,0,0,0,1,0,0,0,1,2,children
7,1,3,#6,4,8,1,7,2022/9/1,0,0,1,0,0,0,0,0,0,1,children
7,1,3,#9,5,8,2,7,2022/9/1,0,0,0,0,1,0,0,0,0,1,children
7,1,3,#9,0,9,3,7,2022/9/1,0,0,0,0,0,0,0,0,1,2,children
7,1,3,#9,5,9,4,7,2022/9/1,0,0,0,0,0,0,0,0,1,2,children
7,1,3,#6,5,8,5,7,2022/9/1,0,0,0,0,1,0,0,0,0,1,children
7,1,3,#9,0,8,6,7,2022/9/1,0,0,0,0,0,0,0,1,0,2,children
7,1,3,#9,4,9,7,7,2022/9/1,0,0,0,0,0,0,0,0,1,2,children
7,1,3,#9,0,5,8,7,2022/9/1,0,0,0,0,1,0,0,0,0,2,children
7,1,3,#6,4,9,9,7,2022/9/1,0,0,0,1,0,0,0,0,0,1,children
7,1,3,#9,6,8,10,7,2022/9/1,0,0,0,0,0,0,0,1,0,2,children
